num__Age,num__Annees_experience,ord_edu__Niveau_education,ord_csp__CSP,nom__Sexe_Femme,nom__Sexe_Homme,nom__Milieu_Rural,nom__Milieu_Urbain,nom__Region_geographique_Centre,nom__Region_geographique_Est,nom__Region_geographique_Nord,nom__Region_geographique_Ouest,nom__Region_geographique_Sud,nom__Etat_matrimonial_Célibataire,nom__Etat_matrimonial_Divorcé,nom__Etat_matrimonial_Marié,nom__Etat_matrimonial_Veuf,nom__Secteur_emploi_Informel,nom__Secteur_emploi_Privé,nom__Secteur_emploi_Public,nom__Propriete_immobiliere_Non,nom__Propriete_immobiliere_Oui,nom__Vehicule_motorise_Non,nom__Vehicule_motorise_Oui,nom__Terrain_agricole_Non,nom__Terrain_agricole_Oui,nom__Revenu_secondaire_Non,nom__Revenu_secondaire_Oui
0.9996274769525104,0.3472271010365863,3.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
0.32879658243355664,1.052799101923738,3.0,5.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0
-1.0874019726620126,-0.9631209006109808,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
-0.4165710781430587,-0.35834489985056517,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
1.0741642430101719,2.1615551033178333,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
1.223237775125495,2.564739103824777,2.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
-1.683696101123305,-1.0639169007377167,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
-0.11842401391241258,-0.660732900230773,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
-1.0874019726620126,-0.5599369001040371,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0
0.32879658243355664,-0.05595689947035739,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
